2020:06:25-02:10:00,3833.2,3825.4,3834.7,3826.3
2020:06:25-02:11:00,3825.3,3824.4,3827.3,3826.3
2020:06:25-02:12:00,3827.1,3826.3,3829.3,3828.7
2020:06:25-02:13:00,3829.2,3827.2,3829.2,3827.3
2020:06:25-02:14:00,3828.2,3824.4,3828.2,3824.4
2020:06:25-02:15:00,3825.2,3824.3,3827.2,3827.2
2020:06:25-02:16:00,3827.3,3823.5,3827.7,3824.3
2020:06:25-02:17:00,3824.2,3823.2,3825.2,3823.2
2020:06:25-02:18:00,3823.3,3823.2,3827.3,3825.3
2020:06:25-02:19:00,3825.2,3823.3,3825.3,3824.3
2020:06:25-02:20:00,3823.3,3822.2,3824.3,3823.1
2020:06:25-02:21:00,3823.2,3823.2,3827.3,3826.3
2020:06:25-02:22:00,3826.8,3824.2,3827.3,3827.3
2020:06:25-02:23:00,3827.7,3826.3,3828.3,3827.3
2020:06:25-02:24:00,3827.2,3823.3,3827.3,3825.3
2020:06:25-02:25:00,3825.2,3823.2,3825.3,3823.2
2020:06:25-02:26:00,3823.3,3819.3,3823.3,3819.3
2020:06:25-02:27:00,3819.6,3816.3,3821.3,3818.2
2020:06:25-02:28:00,3818.3,3815.2,3818.3,3815.3
2020:06:25-02:29:00,3815.2,3813.8,3816.3,3815.3
2020:06:25-02:30:00,3815.2,3809.3,3816.1,3811.3
2020:06:25-02:31:00,3810.9,3809.3,3813.3,3811.3
2020:06:25-02:32:00,3811.4,3811.3,3814.2,3813.7
2020:06:25-02:33:00,3813.8,3811.4,3814.3,3814.3
2020:06:25-02:34:00,3813.5,3810.2,3814.3,3812.2
2020:06:25-02:35:00,3812.3,3809.3,3813.2,3810.3
2020:06:25-02:36:00,3810.4,3809.3,3811.3,3810.3
2020:06:25-02:37:00,3810.7,3810.3,3812.3,3811.3
2020:06:25-02:38:00,3811.2,3809.3,3811.3,3809.3
2020:06:25-02:39:00,3809.2,3806.9,3809.2,3807.3
2020:06:25-02:40:00,3807.4,3798.3,3807.4,3800.3
2020:06:25-02:41:00,3800.7,3799.3,3802.3,3801.3
2020:06:25-02:42:00,3801.7,3801.3,3807.2,3806.3
2020:06:25-02:43:00,3807.2,3801.7,3808.4,3802.3
2020:06:25-02:44:00,3803.2,3800.3,3804.3,3801.3
2020:06:25-02:45:00,3801.4,3795.2,3802.3,3798.3
2020:06:25-02:46:00,3798.7,3798.3,3804.3,3804.3
2020:06:25-02:47:00,3804.2,3801.5,3805.3,3805.3
2020:06:25-02:48:00,3805.2,3802.3,3805.3,3804.3
2020:06:25-02:49:00,3803.9,3803.2,3804.7,3804.3
2020:06:25-02:50:00,3804.7,3804.3,3806.3,3804.3
2020:06:25-02:51:00,3804.7,3804.3,3806.3,3805.3
